arquivo,aba,valor_ultimo_na_linha,status
C4407493.xlsx,IR_CS_ANUAL,21484.54,ok
C4481988.xlsx,IR_CS_ANUAL,16721.26,ok
C4276553.xlsx,IR_CS_ANUAL,-6.663.600.000.000.000,ok
C4627054.xlsx,IR_CS_ANUAL,29606.65,ok
C3778071.xlsx,IR_CS_ANUAL,27056.86,ok
C4498729.xlsx,IR_CS_ANUAL,7578.05,ok
C4695255.xlsx,IR_CS_ANUAL,23310.63,ok
C3896660.xlsx,IR_CS_ANUAL,19803.16,ok
C4610748.xlsx,IR_CS_ANUAL,18465.22,ok
C4366375.xlsx,IR_CS_ANUAL,20573.8,ok
C4556015.xlsx,IR_CS_ANUAL,39247.11,ok
C4515592.xlsx,IR_CS_ANUAL,24183.27,ok
C4180410.xlsx,IR_CS_ANUAL,10617.64,ok
C4409631.xlsx,IR_CS_ANUAL,12636.36,ok
C4714574.xlsx,IR_CS_ANUAL,7985.57,ok
C4811497.xlsx,IR_CS_ANUAL,16981.83,ok
C4316432.xlsx,IR_CS_ANUAL,24063.84,ok
C4899150.xlsx,IR_CS_ANUAL,1015.34,ok
C4575970.xlsx,IR_CS_ANUAL,9512.68,ok
C4315576.xlsx,IR_CS_ANUAL,19667.26,ok
C3691587.xlsx,IR_CS_ANUAL,4.042.460.999.999.990,ok
C4387286.xlsx,IR_CS_ANUAL,8867.67,ok
C4351523.xlsx,IR_CS_ANUAL,24148.06,ok
C4613899.xlsx,IR_CS_ANUAL,-6225.03,ok
C4050024.xlsx,IR_CS_ANUAL,7819.7,ok
C4664783.xlsx,IR_CS_ANUAL,13525.5,ok
C4181730.xlsx,IR_CS_ANUAL,12904.57,ok
C3753099.xlsx,IR_CS_ANUAL,11771.59,ok
C3932935.xlsx,IR_CS_ANUAL,3991.99,ok
C3916453.xlsx,IR_CS_ANUAL,12229.95,ok
C5019101.xlsx,IR_CS_ANUAL,20748.21,ok
C4383617.xlsx,IR_CS_ANUAL,17809.39,ok
C3680687.xlsx,IR_CS_ANUAL,9223.82,ok
C4284334.xlsx,IR_CS_ANUAL,12619.07,ok
C4112072.xlsx,IR_CS_ANUAL,10154.73,ok
C4494851.xlsx,IR_CS_ANUAL,27723.54,ok
C4967951.xlsx,IR_CS_ANUAL,59272.01,ok
C3579558.xlsx,IR_CS_ANUAL,5230.73,ok
C4588457.xlsx,IR_CS_ANUAL,25352.39,ok
C4336329.xlsx,IR_CS_ANUAL,7.392.559.999.999.990,ok
C4605875.xlsx,IR_CS_ANUAL,23895.01,ok
C4647139.xlsx,IR_CS_ANUAL,22398.62,ok
C4338119.xlsx,IR_CS_ANUAL,22077.52,ok
C4532231.xlsx,IR_CS_ANUAL,33282.59,ok
C4668654.xlsx,IR_CS_ANUAL,27860.61,ok
C4533317.xlsx,IR_CS_ANUAL,32039.36,ok
C4421150.xlsx,IR_CS_ANUAL,10814.7,ok
C5022027.xlsx,IR_CS_ANUAL,22923.81,ok
C3991391.xlsx,IR_CS_ANUAL,1968.59,ok
C4594409.xlsx,IR_CS_ANUAL,19989.62,ok
C3727049.xlsx,IR_CS_ANUAL,8647.36,ok
C3710024.xlsx,IR_CS_ANUAL,8500.32,ok
C4194922.xlsx,IR_CS_ANUAL,15566.43,ok
C4888181.xlsx,IR_CS_ANUAL,12446.43,ok
C4321941.xlsx,IR_CS_ANUAL,26420.54,ok
C5076125.xlsx,IR_CS_ANUAL,16380.62,ok
C4521252.xlsx,IR_CS_ANUAL,14638.67,ok
C4362700.xlsx,IR_CS_ANUAL,9027.14,ok
C3683117.xlsx,IR_CS_ANUAL,2788.13,ok
C4559148.xlsx,IR_CS_ANUAL,20685.45,ok
C4421522.xlsx,IR_CS_ANUAL,6.252.310.000.000.000,ok
C4047336.xlsx,IR_CS_ANUAL,19166.76,ok
C3791819.xlsx,IR_CS_ANUAL,25322.5,ok
C4365780.xlsx,IR_CS_ANUAL,12722.6,ok
C3558881.xlsx,IR_CS_ANUAL,9606.98,ok
C3609646.xlsx,IR_CS_ANUAL,9224.9,ok
C4348776.xlsx,IR_CS_ANUAL,8491.46,ok
C4645165.xlsx,IR_CS_ANUAL,24354.28,ok
C4332364.xlsx,IR_CS_ANUAL,9986.69,ok
C4399224.xlsx,IR_CS_ANUAL,21165.61,ok
C4357253.xlsx,IR_CS_ANUAL,32522.02,ok
C3919868.xlsx,IR_CS_ANUAL,18869.07,ok
C4651917.xlsx,IR_CS_ANUAL,36258.55,ok
C4498304.xlsx,IR_CS_ANUAL,3822.34,ok
C4639029.xlsx,IR_CS_ANUAL,19362.9,ok
C4623016.xlsx,IR_CS_ANUAL,21610.9,ok
C4416897.xlsx,IR_CS_ANUAL,19790.75,ok
C4968149.xlsx,IR_CS_ANUAL,11187.72,ok
C4678589.xlsx,IR_CS_ANUAL,59091.21,ok
C4690548.xlsx,IR_CS_ANUAL,32224.75,ok
C4465236.xlsx,IR_CS_ANUAL,25358.71,ok
C4362867.xlsx,IR_CS_ANUAL,3.835.099.999.999.990,ok
C3557950.xlsx,IR_CS_ANUAL,14981.85,ok
C4644685.xlsx,IR_CS_ANUAL,-17879.07,ok
C4076406.xlsx,IR_CS_ANUAL,12171.79,ok
C4654376.xlsx,IR_CS_ANUAL,24564.82,ok
C4672105.xlsx,IR_CS_ANUAL,24449.57,ok
C3994788.xlsx,IR_CS_ANUAL,18902.21,ok
C3724314.xlsx,IR_CS_ANUAL,5.554.351.999.999.990,ok
C3927856.xlsx,IR_CS_ANUAL,2.802.450.000.000.000,ok
C4394374.xlsx,IR_CS_ANUAL,9557.03,ok
C3754482.xlsx,IR_CS_ANUAL,6341.69,ok
C4699251.xlsx,IR_CS_ANUAL,46323.21,ok
C4506252.xlsx,IR_CS_ANUAL,25752.42,ok
C4626302.xlsx,IR_CS_ANUAL,20307.72,ok
C4633268.xlsx,IR_CS_ANUAL,21624.29,ok
C5004339.xlsx,IR_CS_ANUAL,21059.31,ok
C4646754.xlsx,IR_CS_ANUAL,21318.41,ok
C4593121.xlsx,IR_CS_ANUAL,25535.1,ok
C4089192.xlsx,IR_CS_ANUAL,13462.86,ok
C4109485.xlsx,IR_CS_ANUAL,12334.62,ok
C4349000.xlsx,IR_CS_ANUAL,3.405.130.000.000.000,ok
C4692899.xlsx,IR_CS_ANUAL,32004.67,ok
C3566019.xlsx,IR_CS_ANUAL,14544.06,ok
C4659498.xlsx,IR_CS_ANUAL,3.924.630.000.000.000,ok
C5057340.xlsx,IR_CS_ANUAL,7.495.876.000.000.000,ok
C3558276.xlsx,IR_CS_ANUAL,6.089.130.000.000.000,ok
C4437545.xlsx,IR_CS_ANUAL,18308.78,ok
C3614512.xlsx,IR_CS_ANUAL,22488.15,ok
C4275372.xlsx,IR_CS_ANUAL,12382.06,ok
C3881277.xlsx,IR_CS_ANUAL,8.207.619.999.999.990,ok
C4438153.xlsx,IR_CS_ANUAL,82824.62,ok
C4362160.xlsx,IR_CS_ANUAL,4.377.999.999.999.990,ok
C4115901.xlsx,IR_CS_ANUAL,23957.02,ok
C4461805.xlsx,IR_CS_ANUAL,5.478.439.999.999.990,ok
C4228149.xlsx,IR_CS_ANUAL,13569.01,ok
C4354143.xlsx,IR_CS_ANUAL,29306.26,ok
C4822536.xlsx,IR_CS_ANUAL,8612.72,ok
C4678238.xlsx,IR_CS_ANUAL,8.666.599.999.999.990,ok
C4316436.xlsx,IR_CS_ANUAL,18559.37,ok
C4623374.xlsx,IR_CS_ANUAL,31680.33,ok
C4209050.xlsx,IR_CS_ANUAL,10356.44,ok
C4879233.xlsx,IR_CS_ANUAL,12773.17,ok
C4362325.xlsx,IR_CS_ANUAL,16938.73,ok
C4954566.xlsx,IR_CS_ANUAL,9737.89,ok
C4500367.xlsx,IR_CS_ANUAL,3410.91,ok
C4490567.xlsx,IR_CS_ANUAL,18514.88,ok
C4215395.xlsx,IR_CS_ANUAL,27478.37,ok
