AnoMes,NumContrato,Conta_Nome,Cosif_Nome,ValorDebito,ValorCredito,Movimentacao,GER,IRPJ,CS,PIS,COFINS
999999,4582210,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,208522.44,208522.44,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4582568,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,27195.52,0.00,-27195.52,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4582785,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,228530.59,228530.59,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4583460,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,22036.21,22036.21,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4583617,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,64984.46,64984.46,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4583639,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,55569.72,55569.72,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4583885,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,169269.52,169269.52,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4584222,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,26255.30,0.00,-26255.30,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4584920,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,80677.00,80677.00,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4585299,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,13424.40,0.00,-13424.40,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4585624,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,35482.29,0.00,-35482.29,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4585667,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,122058.51,122058.51,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4585982,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,232740.20,232740.20,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4586448,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,35338.32,35338.32,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4586482,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,34202.54,34202.54,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4586870,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,23103.65,0.00,-23103.65,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4587194,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,155281.59,155281.59,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4587317,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,132732.98,132732.98,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4587618,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,327542.64,327542.64,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4588345,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,5.34,0.00,-5.34,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4588724,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,464990.94,464990.94,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4589179,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,6946.40,0.00,-6946.40,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4589204,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,106085.86,106085.86,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4589218,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,83314.10,83314.10,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4589234,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,78375.19,78375.19,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4589683,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,171080.76,171080.76,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4589939,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,173892.54,173892.54,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4589962,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,496981.22,496981.22,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4590706,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,7.98,0.00,-7.98,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4591171,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,163283.30,163283.30,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4591643,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,906232.59,0.00,-906232.59,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4592076,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,940527.00,0.00,-940527.00,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
