arquivo,valor_ultimo_na_linha,status
C3072387.xlsx,-3.637978807091713e-12,ok
C3072115.xlsx,7.275957614183426e-12,ok
C3072456.xlsx,0.0,ok
C3072682.xlsx,1.8189894035458565e-12,ok
C3072509.xlsx,0.0,ok
C3072916.xlsx,0.0,ok
C3073309.xlsx,3.637978807091713e-12,ok
C3072965.xlsx,3.637978807091713e-12,ok
C3073549.xlsx,0.0,ok
C3073670.xlsx,0.0,ok
C3073620.xlsx,0.0,ok
C3073520.xlsx,0.0,ok
C3073870.xlsx,1.8189894035458565e-12,ok
C3073932.xlsx,21223.72,ok
C3074089.xlsx,1.8189894035458565e-12,ok
C3074224.xlsx,1.8189894035458565e-12,ok
C3074206.xlsx,0.0,ok
C3074219.xlsx,3.637978807091713e-12,ok
C3074254.xlsx,-7.275957614183426e-12,ok
C3074556.xlsx,7.275957614183426e-12,ok
C3074373.xlsx,-9.094947017729282e-13,ok
C3075138.xlsx,7.275957614183426e-12,ok
C3075446.xlsx,0.0,ok
C3075141.xlsx,3.637978807091713e-12,ok
C3075094.xlsx,0.0,ok
C3075309.xlsx,0.0,ok
C3075590.xlsx,0.0,ok
C3074982.xlsx,0.0,ok
C3075762.xlsx,0.0,ok
C3075655.xlsx,0.0,ok
C3075724.xlsx,-1.8189894035458565e-12,ok
C3075815.xlsx,0.0,ok
C3075765.xlsx,0.0,ok
C3075833.xlsx,-9.094947017729282e-13,ok
C3075819.xlsx,3.637978807091713e-12,ok
C3076271.xlsx,-3.637978807091713e-12,ok
C3076261.xlsx,0.0,ok
C3076448.xlsx,0.0,ok
C3076443.xlsx,0.0,ok
C3075896.xlsx,0.0,ok
C3076497.xlsx,-3.637978807091713e-12,ok
C3076635.xlsx,-1.8189894035458565e-12,ok
C3076738.xlsx,0.0,ok
C3076967.xlsx,0.0,ok
C3076766.xlsx,1.8189894035458565e-12,ok
C3076872.xlsx,0.0,ok
C3077367.xlsx,9.094947017729282e-13,ok
C3077444.xlsx,0.0,ok
C3078087.xlsx,-5.4569682106375694e-12,ok
C3078218.xlsx,-5.4569682106375694e-12,ok
C3077697.xlsx,0.0,ok
C3078412.xlsx,0.0,ok
C3077767.xlsx,0.0,ok
C3077735.xlsx,-3.637978807091713e-12,ok
C3078429.xlsx,1.8189894035458565e-12,ok
C3079190.xlsx,7.275957614183426e-12,ok
C3079331.xlsx,-7.275957614183426e-12,ok
C3079478.xlsx,0.0,ok
C3079590.xlsx,0.0,ok
C3079596.xlsx,-3.637978807091713e-12,ok
C3079897.xlsx,0.0,ok
C3079935.xlsx,0.0,ok
C3080037.xlsx,0.0,ok
C3080179.xlsx,-2.9103830456733704e-11,ok
C3080069.xlsx,0.0,ok
C3080165.xlsx,-1.8189894035458565e-12,ok
C3080266.xlsx,-3.637978807091713e-12,ok
C3080047.xlsx,9.094947017729282e-13,ok
C3080392.xlsx,3.637978807091713e-12,ok
C3080310.xlsx,-7.275957614183426e-12,ok
C3080720.xlsx,0.0,ok
C3080921.xlsx,0.0,ok
C3080279.xlsx,0.0,ok
C3080819.xlsx,0.0,ok
C3080787.xlsx,0.0,ok
C3080943.xlsx,0.0,ok
C3081054.xlsx,-1.8189894035458565e-12,ok
C3081283.xlsx,-9.094947017729282e-13,ok
