arquivo,arquivo_completo,aba,valor_ultimo_na_linha,status
C3011721.xlsx,data/output/C3011721.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3011747.xlsx,data/output/C3011747.xlsx,IR_CS_ANUAL,0,ok
C3011877.xlsx,data/output/C3011877.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3011931.xlsx,data/output/C3011931.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3012193.xlsx,data/output/C3012193.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3012168.xlsx,data/output/C3012168.xlsx,IR_CS_ANUAL,0,ok
C3012344.xlsx,data/output/C3012344.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3012094.xlsx,data/output/C3012094.xlsx,IR_CS_ANUAL,0,ok
C3012375.xlsx,data/output/C3012375.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3012423.xlsx,data/output/C3012423.xlsx,IR_CS_ANUAL,0,ok
C3012492.xlsx,data/output/C3012492.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3013389.xlsx,data/output/C3013389.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3013097.xlsx,data/output/C3013097.xlsx,IR_CS_ANUAL,9.094947017729282e-13,ok
C3013010.xlsx,data/output/C3013010.xlsx,IR_CS_ANUAL,0,ok
C3012721.xlsx,data/output/C3012721.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3013468.xlsx,data/output/C3013468.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3013558.xlsx,data/output/C3013558.xlsx,IR_CS_ANUAL,0,ok
C3013793.xlsx,data/output/C3013793.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3013895.xlsx,data/output/C3013895.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3014706.xlsx,data/output/C3014706.xlsx,IR_CS_ANUAL,0,ok
C3014232.xlsx,data/output/C3014232.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3014247.xlsx,data/output/C3014247.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3014969.xlsx,data/output/C3014969.xlsx,IR_CS_ANUAL,0,ok
C3014741.xlsx,data/output/C3014741.xlsx,IR_CS_ANUAL,0,ok
C3015014.xlsx,data/output/C3015014.xlsx,IR_CS_ANUAL,0,ok
C3014781.xlsx,data/output/C3014781.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3015041.xlsx,data/output/C3015041.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3015060.xlsx,data/output/C3015060.xlsx,IR_CS_ANUAL,0,ok
C3015058.xlsx,data/output/C3015058.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3015366.xlsx,data/output/C3015366.xlsx,IR_CS_ANUAL,23787.29,ok
C3015474.xlsx,data/output/C3015474.xlsx,IR_CS_ANUAL,9.094947017729282e-13,ok
C3015867.xlsx,data/output/C3015867.xlsx,IR_CS_ANUAL,0,ok
C3015782.xlsx,data/output/C3015782.xlsx,IR_CS_ANUAL,0,ok
C3015364.xlsx,data/output/C3015364.xlsx,IR_CS_ANUAL,-9.094947017729282e-13,ok
C3016119.xlsx,data/output/C3016119.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3016042.xlsx,data/output/C3016042.xlsx,IR_CS_ANUAL,0,ok
C3016355.xlsx,data/output/C3016355.xlsx,IR_CS_ANUAL,0,ok
C3016220.xlsx,data/output/C3016220.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3016704.xlsx,data/output/C3016704.xlsx,IR_CS_ANUAL,0,ok
C3016666.xlsx,data/output/C3016666.xlsx,IR_CS_ANUAL,0,ok
C3016869.xlsx,data/output/C3016869.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3017125.xlsx,data/output/C3017125.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3017189.xlsx,data/output/C3017189.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3017357.xlsx,data/output/C3017357.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3017204.xlsx,data/output/C3017204.xlsx,IR_CS_ANUAL,0,ok
C3017543.xlsx,data/output/C3017543.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3017582.xlsx,data/output/C3017582.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3017774.xlsx,data/output/C3017774.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3017628.xlsx,data/output/C3017628.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3018320.xlsx,data/output/C3018320.xlsx,IR_CS_ANUAL,0,ok
C3018403.xlsx,data/output/C3018403.xlsx,IR_CS_ANUAL,0,ok
C3018164.xlsx,data/output/C3018164.xlsx,IR_CS_ANUAL,0,ok
C3018405.xlsx,data/output/C3018405.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3019076.xlsx,data/output/C3019076.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3018852.xlsx,data/output/C3018852.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3018937.xlsx,data/output/C3018937.xlsx,IR_CS_ANUAL,0,ok
C3019145.xlsx,data/output/C3019145.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3019160.xlsx,data/output/C3019160.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3019393.xlsx,data/output/C3019393.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3019538.xlsx,data/output/C3019538.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3019715.xlsx,data/output/C3019715.xlsx,IR_CS_ANUAL,0,ok
C3019822.xlsx,data/output/C3019822.xlsx,IR_CS_ANUAL,0,ok
C3019771.xlsx,data/output/C3019771.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3019916.xlsx,data/output/C3019916.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3020170.xlsx,data/output/C3020170.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3019914.xlsx,data/output/C3019914.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3020130.xlsx,data/output/C3020130.xlsx,IR_CS_ANUAL,0,ok
C3019838.xlsx,data/output/C3019838.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3020536.xlsx,data/output/C3020536.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3020354.xlsx,data/output/C3020354.xlsx,IR_CS_ANUAL,0,ok
C3020314.xlsx,data/output/C3020314.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3020789.xlsx,data/output/C3020789.xlsx,IR_CS_ANUAL,0,ok
C3020873.xlsx,data/output/C3020873.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3020926.xlsx,data/output/C3020926.xlsx,IR_CS_ANUAL,0,ok
C3020713.xlsx,data/output/C3020713.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3020990.xlsx,data/output/C3020990.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3021249.xlsx,data/output/C3021249.xlsx,IR_CS_ANUAL,0,ok
C3021341.xlsx,data/output/C3021341.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3021300.xlsx,data/output/C3021300.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3021322.xlsx,data/output/C3021322.xlsx,IR_CS_ANUAL,-4.547473508864641e-12,ok
C3021291.xlsx,data/output/C3021291.xlsx,IR_CS_ANUAL,9.094947017729282e-13,ok
C3021299.xlsx,data/output/C3021299.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3021471.xlsx,data/output/C3021471.xlsx,IR_CS_ANUAL,0,ok
C3021464.xlsx,data/output/C3021464.xlsx,IR_CS_ANUAL,0,ok
C3021548.xlsx,data/output/C3021548.xlsx,IR_CS_ANUAL,-5.4569682106375694e-12,ok
C3022472.xlsx,data/output/C3022472.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3021565.xlsx,data/output/C3021565.xlsx,IR_CS_ANUAL,4.547473508864641e-12,ok
C3022195.xlsx,data/output/C3022195.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3022373.xlsx,data/output/C3022373.xlsx,IR_CS_ANUAL,0,ok
C3022480.xlsx,data/output/C3022480.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3022607.xlsx,data/output/C3022607.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3023221.xlsx,data/output/C3023221.xlsx,IR_CS_ANUAL,0,ok
C3023287.xlsx,data/output/C3023287.xlsx,IR_CS_ANUAL,0,ok
C3023560.xlsx,data/output/C3023560.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3023246.xlsx,data/output/C3023246.xlsx,IR_CS_ANUAL,9.094947017729282e-13,ok
C3023600.xlsx,data/output/C3023600.xlsx,IR_CS_ANUAL,0,ok
C3023675.xlsx,data/output/C3023675.xlsx,IR_CS_ANUAL,0,ok
C3023933.xlsx,data/output/C3023933.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3023949.xlsx,data/output/C3023949.xlsx,IR_CS_ANUAL,-1.091393642127514e-11,ok
C3024062.xlsx,data/output/C3024062.xlsx,IR_CS_ANUAL,0,ok
C3024249.xlsx,data/output/C3024249.xlsx,IR_CS_ANUAL,0,ok
C3024050.xlsx,data/output/C3024050.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3023979.xlsx,data/output/C3023979.xlsx,IR_CS_ANUAL,0,ok
C3024727.xlsx,data/output/C3024727.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3024643.xlsx,data/output/C3024643.xlsx,IR_CS_ANUAL,0,ok
C3024795.xlsx,data/output/C3024795.xlsx,IR_CS_ANUAL,0,ok
C3024836.xlsx,data/output/C3024836.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3024930.xlsx,data/output/C3024930.xlsx,IR_CS_ANUAL,0,ok
C3025356.xlsx,data/output/C3025356.xlsx,IR_CS_ANUAL,0,ok
C3025230.xlsx,data/output/C3025230.xlsx,IR_CS_ANUAL,0,ok
C3025616.xlsx,data/output/C3025616.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3025416.xlsx,data/output/C3025416.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3025775.xlsx,data/output/C3025775.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3025595.xlsx,data/output/C3025595.xlsx,IR_CS_ANUAL,0,ok
